id	hash	cluster
357	3922440914269990878	-1
358	13046872371796124523	-1
359	7521701822729730460	-1
362	10657814519744549698	-1
364	7014631762488841727	-1
365	3129977133042718302	-1
366	16691166684165243243	-1
367	12627423532079950431	-1
368	10176932751323692228	-1
369	5972100905465544354	-1
371	17872265224783612914	-1
372	13928318157723333069	-1
373	2690254915688308894	-1
374	7837955906980983595	-1
375	10486889719399987890	-1
380	2413854913274592737	-1
382	7288365162954226262	-1
383	11270727982054948766	-1
384	14252668903971494857	-1
385	16928825692166811907	-1
386	3964308598655426487	-1
387	134668936970827667	-1
388	12092520023516136346	-1
389	5668862881669098950	-1
390	7451953974942444374	-1
391	8868257687986878599	-1
392	3533791757704594909	-1
394	17401861654168934110	-1
395	7900024353702187667	-1
397	2425678570920175501	-1
398	17288289635059642331	-1
399	6791616969493749711	-1
400	16894736718440691997	-1
401	3712579091896317378	-1
402	2147659350593614845	-1
404	9442274540755861643	-1
407	9804329297265506804	-1
409	4066263721311652252	-1
410	3392078198919223753	-1
411	17181402219248399010	-1
412	1209496522657297558	-1
413	1466488902237401135	-1
414	8337401525050077609	-1
415	703631643238500484	-1
416	614099995036586023	-1
417	7693964315009071639	-1
418	1134127165742230087	-1
419	13487699568223088709	-1
421	10350675568263493292	-1
426	16136213516519284371	-1
427	17419687371932283443	-1
434	5568617453600658619	-1
435	9118277374994270184	-1
436	644461251098120230	-1
438	17098234392674555875	-1
439	431399900120898392	-1
440	8198143129098523940	-1
442	9720936800246269207	-1
443	11622769982293412227	-1
444	9890734521570985310	-1
446	14361389682203531967	-1
447	5709372471987957089	-1
450	402687021425122966	-1
452	7007053290699547270	-1
454	13591090537914194821	-1
455	17070937163322718903	-1
456	10071160146173586823	-1
458	18108246955235839486	-1
459	8635548566898085287	-1
460	2233830121030194493	-1
463	3116823719865502178	-1
465	10073616221460016134	-1
466	10008198873996871506	-1
467	2098286448552709485	-1
468	6623873141142248116	-1
469	173032903575957646	-1
470	17429390883090926858	-1
473	8785081872375139443	-1
476	18235531492479512703	-1
477	3580198550043743481	-1
478	6421697148342350442	-1
481	9597438727438067893	-1
482	11688923170432744373	-1
483	11414392065769553475	-1
484	7963636887892861789	-1
485	10466825759601784725	-1
486	11326325424827445754	-1
487	8298947422748598143	-1
490	2270365107767764113	-1
491	3301594694461723123	-1
492	10361779768502132993	-1
493	10176023489456668039	-1
494	4192750992531198815	-1
495	14345552039664560688	-1
496	4602928510031205871	-1
499	7787898179871872977	-1
501	11899404418956238193	-1
